,0
bb_width,0.08241265069428422
obv,0.07617186573069111
price_change_5d,0.07028136563964914
volatility_20d,0.06703112160760012
sma_50,0.06245444360113561
stoch_k,0.05581406724447077
price_change_20d,0.05573322771717058
sma_20,0.05250120248684823
price_change_1d,0.04879860760423969
macd_signal,0.04768039231339702
stoch_d,0.045067862801603596
macd_diff,0.04449690548874437
dist_sma_20,0.04309455217938849
ema_26,0.040511404488805906
dist_sma_200,0.03941349921872704
sma_200,0.039310065565739544
macd,0.03561669202758528
dist_sma_50,0.03296791923800885
ema_12,0.03218235051193892
rsi_14,0.028459803839971556
