Model,Accuracy,Buy_precision,Buy_recall,Buy_f1-score,Hold_precision,Hold_recall,Hold_f1-score,Sell_precision,Sell_recall,Sell_f1-score,Strong Buy_precision,Strong Buy_recall,Strong Buy_f1-score,Strong Sell_precision,Strong Sell_recall,Strong Sell_f1-score
Random Forest,0.4305555555555556,0.34782608695652173,0.3333333333333333,0.3404255319148936,0.484375,0.62,0.543859649122807,0.3333333333333333,0.23333333333333334,0.27450980392156865,0.5217391304347826,0.5454545454545454,0.5333333333333333,0.3076923076923077,0.2222222222222222,0.25806451612903225
XGBoost,0.3819444444444444,0.25,0.2916666666666667,0.2692307692307692,0.5178571428571429,0.58,0.5471698113207547,0.2857142857142857,0.26666666666666666,0.27586206896551724,0.5625,0.4090909090909091,0.47368421052631576,0.125,0.1111111111111111,0.11764705882352941
